"callerPrefix","calleePrefix"
"practices/clean_engineering/model","practices/ux/model/drawio"
"practices/clean_engineering/model","practices/ux/model"
"practices/clean_engineering/model","practices/ux"
"practices/clean_engineering/model","tools/catalog_generator"
"practices/clean_engineering/model","practices/clean_engineering/model/drawio"
"practices/clean_engineering/model","practices/agent_bdd"
"practices/clean_engineering/model","practices/ux/model/markdown"
"practices/clean_engineering/model","builders/create_context_tool"
"practices/clean_engineering/model","tools/workflow"
"practices/clean_engineering/model","practices/bdd"
"practices/clean_engineering/model","builders/create_agent_toolset"
"practices/clean_engineering/model","practices/ddd"
"practices/clean_engineering/model","tools/prompt_echo"
"practices/clean_engineering/model","tools/diagnose"
"practices/clean_engineering/model","tools/handoff"
"practices/clean_engineering/model","practices/ux/model/html"
"practices/clean_engineering/model","practices/ux/model/json"
"practices/clean_engineering/model","tools/plan"
"practices/clean_engineering","actions"
"practices/clean_engineering","harness"
"practices/clean_engineering","practices"
"practices/clean_engineering","installation"
"practices/clean_engineering","actions/grill_context"
"practices/clean_engineering","harness/hooks"
"practices/clean_engineering","actions/sketch"
"practices/clean_engineering","harness/agent_tools"
"practices/clean_engineering","harness/markdown"
"practices/clean_engineering","harness/knowledge_graph"
"practices/clean_engineering","harness/mcp"
"practices/clean_engineering","practices/stories"
"practices/clean_engineering","practices/clean_engineering/model"
"practices/clean_engineering","tools/git"
"practices/clean_engineering","tools/context_setup"
"practices/clean_engineering","tools/workspace"
"practices/clean_engineering","actions/partition"
"practices/clean_engineering","practices/ux/model/drawio"
"practices/clean_engineering","practices/ux/model"
"practices/clean_engineering","practices/ux"
"practices/clean_engineering","tools/catalog_generator"
"practices/clean_engineering","practices/clean_engineering/model/drawio"
"practices/clean_engineering","practices/agent_bdd"
"practices/clean_engineering","practices/ux/model/markdown"
"practices/clean_engineering","builders/create_context_tool"
"practices/clean_engineering","tools/workflow"
"practices/clean_engineering","practices/bdd"
"practices/clean_engineering","builders/create_agent_toolset"
"practices/clean_engineering","practices/ddd"
"practices/clean_engineering","tools/prompt_echo"
"practices/clean_engineering","tools/diagnose"
"practices/clean_engineering","tools/handoff"
"practices/clean_engineering","practices/ux/model/html"
"practices/clean_engineering","practices/ux/model/json"
"practices/clean_engineering","tools/plan"
"tools/git","actions"
"tools/git","harness"
"tools/git","practices"
"tools/git","installation"
"tools/git","harness/hooks"
"tools/git","actions/sketch"
"tools/git","harness/agent_tools"
"tools/git","harness/markdown"
"tools/git","harness/knowledge_graph"
"tools/git","harness/mcp"
"tools/git","practices/stories"
"tools/git","practices/clean_engineering/model"
"tools/git","practices/clean_engineering"
"tools/git","tools/context_setup"
"tools/git","tools/workspace"
"tools/git","actions/partition"
"tools/git","practices/ux/model"
"tools/git","practices/ux"
"tools/git","tools/catalog_generator"
"tools/git","practices/clean_engineering/model/drawio"
"tools/git","practices/agent_bdd"
"tools/git","builders/create_context_tool"
"tools/git","tools/workflow"
"tools/git","practices/bdd"
"tools/git","builders/create_agent_toolset"
"tools/git","practices/ddd"
"tools/git","tools/prompt_echo"
"tools/git","tools/handoff"
"tools/git","tools/plan"
"tools/context_setup","practices"
"tools/context_setup","installation"
"tools/context_setup","harness/hooks"
"tools/context_setup","harness/agent_tools"
"tools/context_setup","harness/knowledge_graph"
"tools/context_setup","harness/mcp"
"tools/context_setup","practices/stories"
"tools/context_setup","practices/clean_engineering/model"
"tools/context_setup","practices/clean_engineering"
"tools/context_setup","tools/git"
"tools/context_setup","tools/workspace"
"tools/context_setup","actions/partition"
"tools/context_setup","practices/ux/model"
"tools/context_setup","tools/catalog_generator"
"tools/context_setup","practices/agent_bdd"
"tools/context_setup","tools/workflow"
"tools/context_setup","builders/create_agent_toolset"
"tools/context_setup","practices/ddd"
"tools/context_setup","tools/diagnose"
"tools/context_setup","tools/plan"
"tools/workspace","actions"
"tools/workspace","harness"
"tools/workspace","practices"
"tools/workspace","installation"
"tools/workspace","harness/hooks"
"tools/workspace","actions/sketch"
"tools/workspace","harness/agent_tools"
"tools/workspace","harness/markdown"
"tools/workspace","harness/knowledge_graph"
"tools/workspace","harness/mcp"
"tools/workspace","practices/stories"
"tools/workspace","practices/clean_engineering/model"
"tools/workspace","practices/clean_engineering"
"tools/workspace","tools/git"
"tools/workspace","tools/context_setup"
"tools/workspace","actions/partition"
"tools/workspace","practices/ux/model"
"tools/workspace","practices/ux"
"tools/workspace","tools/catalog_generator"
"tools/workspace","practices/clean_engineering/model/drawio"
"tools/workspace","practices/agent_bdd"
"tools/workspace","builders/create_context_tool"
"tools/workspace","tools/workflow"
"tools/workspace","practices/bdd"
"tools/workspace","builders/create_agent_toolset"
"tools/workspace","practices/ddd"
"tools/workspace","tools/prompt_echo"
"tools/workspace","tools/handoff"
"tools/workspace","tools/record_decisions"
"tools/workspace","tools/plan"
"actions/partition","harness"
"actions/partition","harness/hooks"
"actions/partition","harness/agent_tools"
"actions/partition","harness/markdown"
"actions/partition","harness/knowledge_graph"
"actions/partition","harness/mcp"
"actions/partition","practices/stories"
"actions/partition","practices/clean_engineering"
"actions/partition","tools/context_setup"
"actions/partition","tools/workspace"
"actions/partition","practices/ux/model"
"actions/partition","tools/catalog_generator"
"actions/partition","practices/agent_bdd"
"actions/partition","tools/workflow"
"actions/partition","practices/ddd"
"actions/partition","tools/prompt_echo"
"actions/partition","tools/plan"
"tools/echo","harness/agent_tools"
"tools/echo","harness/knowledge_graph"
"tools/echo","tools/catalog_generator"
"tools/echo","practices/agent_bdd"
"practices/ux/model/drawio","harness"
"practices/ux/model/drawio","harness/hooks"
"practices/ux/model/drawio","harness/agent_tools"
"practices/ux/model/drawio","harness/knowledge_graph"
"practices/ux/model/drawio","harness/mcp"
"practices/ux/model/drawio","practices/stories"
"practices/ux/model/drawio","practices/clean_engineering/model"
"practices/ux/model/drawio","practices/clean_engineering"
"practices/ux/model/drawio","tools/workspace"
"practices/ux/model/drawio","practices/ux/model"
"practices/ux/model/drawio","tools/catalog_generator"
"practices/ux/model/drawio","practices/clean_engineering/model/drawio"
"practices/ux/model/drawio","practices/agent_bdd"
"practices/ux/model/drawio","practices/ux/model/markdown"
"practices/ux/model/drawio","tools/workflow"
"practices/ux/model/drawio","practices/ddd"
"practices/ux/model/drawio","tools/prompt_echo"
"practices/ux/model/drawio","practices/ux/model/html"
