"prefix","col1"
"practices/clean_engineering/model","JavaScriptModule"
"practices/clean_engineering/model","JsonProperty"
"practices/clean_engineering/model","JsonOperation"
"practices/clean_engineering/model","JsonRelationship"
"practices/clean_engineering/model","JsonOoadClass"
"practices/clean_engineering/model","JsonModule"
"practices/clean_engineering/model","MarkdownOoadClass"
"practices/clean_engineering/model","MarkdownModule"
"practices/clean_engineering/model","ModuleContext"
"practices/clean_engineering/model","PythonOoadClass"
"practices/clean_engineering/model","PythonModule"
"practices/clean_engineering/model","ChangeKind"
"practices/clean_engineering/model","TypeScriptProperty"
"practices/clean_engineering/model","TypeScriptOperation"
"practices/clean_engineering/model","TypeScriptOoadClass"
"practices/clean_engineering/model","TypeScriptModule"
"practices/clean_engineering/model","Change"
"practices/clean_engineering","Scan"
"practices/clean_engineering","Scanner"
"practices/clean_engineering","ScannerCollection"
"practices/clean_engineering","ScannerReport"
"practices/clean_engineering","ScanReport"
"practices/clean_engineering","Violation"
"practices/clean_engineering","TypeScriptScanner"
"practices/clean_engineering","ArgNamingScanner"
"practices/clean_engineering","LERNScanner"
"practices/clean_engineering","AskCrossAggregateSyncScanner"
"practices/clean_engineering","CleanEngineering"
"practices/clean_engineering","CasingTransformScanner"
"practices/clean_engineering","CrossLayerNamingScanner"
"practices/clean_engineering","DependencyDeclarationsScanner"
"practices/clean_engineering","MERNScanner"
"practices/clean_engineering","DomainStructureScanner"
"practices/clean_engineering","EntityBehaviorScanner"
"practices/clean_engineering","InterfaceInfo"
"practices/clean_engineering","InterfaceImplementationScanner"
"practices/clean_engineering","LayerPurityScanner"
"practices/clean_engineering","LernDomainDriven"
"practices/clean_engineering","MethodInfo"
"practices/clean_engineering","PropertyInfo"
"practices/clean_engineering","ClassInfo"
"practices/clean_engineering","ImportInfo"
"practices/clean_engineering","CallInfo"
"practices/clean_engineering","MernDomainDriven"
"practices/clean_engineering","MutationResponseScanner"
"practices/clean_engineering","OneJsonStorePerAggregateScanner"
"practices/clean_engineering","PackageNamesScanner"
"practices/clean_engineering","RepositoryOwnsAggregateLifecycleScanner"
"practices/clean_engineering","RouteDelegationScanner"
"practices/clean_engineering","ShareDomainLogicScanner"
"practices/clean_engineering","TestIsolationScanner"
"practices/clean_engineering","TestScriptsScanner"
"practices/clean_engineering","TestStructureScanner"
"practices/clean_engineering","TypeSafetyScanner"
"practices/clean_engineering","UbiquitousLanguageScanner"
"practices/clean_engineering","ViewNamingScanner"
"tools/git","Repo"
"tools/git","Branch"
"tools/git","CliAgentBinding"
"tools/git","Commit"
"tools/git","DirtyBranchSwitchError"
"tools/git","GhConnectError"
"tools/git","Git"
"tools/git","GitConnectError"
"tools/git","Project"
"tools/git","Ticket"
"tools/git","TicketNotFoundError"
"tools/git","TicketState"
"tools/git","Worktree"
"tools/git","ProjectItem"
"actions/partition","PartitionIndex"
"actions/partition","Partition"
"actions/partition","Segment"
"actions/partition","SegmentCompletenessConfig"
"actions/partition","SegmentEntry"
"tools/echo","Echo"
"practices/ux/model/drawio","DrawioUxMap"
"practices/ux/model","ChildCollectionPair"
"practices/ux/model","UpdateReport"
"practices/ux/model","ContentTypes"
"practices/ux/model","NavComponents"
"practices/ux/model","Transitions"
"practices/ux/model","UxComponentCollection"
"practices/ux/model","ContentType"
"practices/ux/model","Control"
"practices/ux/model","Interaction"
"practices/ux/model","NavComponent"
"practices/ux/model","Region"
"practices/ux/model","Screen"
"practices/ux/model","StoryDemoControl"
"practices/ux/model","Transition"
"practices/ux/model","UxComponent"
"practices/ux/model","UxContext"
"practices/ux/model","ReferencePaths"
"practices/ux/model","UxMap"
"practices/ux/model","Workspace"
"practices/ux/model","TranslationError"
"practices/ux/model","UxNode"
"practices/ux/model","ChangeKind"
"practices/ux/model","Change"
"practices/ux","Ux"
"tools/catalog_generator","Catalog"
"tools/catalog_generator","RegistryEntry"
"tools/catalog_generator","SkillSlashName"
